PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,LTS,JAM,SOIALL,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCOF,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCOC,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCNT,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPBAN,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPLEG,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPVEG,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCON,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPFRT,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCER,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPPLA,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPPOT,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPYAM,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPOTTU,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCARBOV,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCARPOR,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPCARPOL,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPMILK,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMPOTRCAR,,,,,,,,,,100.0
OperationalLife,LTS,JAM,LU_FOR,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_WET,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_CROP,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_PAS,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_SET,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_OTL,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_DEN,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_DRY,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_SEC,,,,,,,,,,1.0
OperationalLife,LTS,JAM,LU_MAN,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_COF,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_COC,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_CNT,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_BAN,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_LEG,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_VEG,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_CON,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_FRT,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_CER,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_PLA,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_POT,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_YAM,,,,,,,,,,1.0
OperationalLife,LTS,JAM,AG_OTTU,,,,,,,,,,1.0
OperationalLife,LTS,JAM,GA_CARBOV,,,,,,,,,,1.0
OperationalLife,LTS,JAM,GA_CARPOR,,,,,,,,,,1.0
OperationalLife,LTS,JAM,GA_CARPOL,,,,,,,,,,1.0
OperationalLife,LTS,JAM,GA_MILK,,,,,,,,,,1.0
OperationalLife,LTS,JAM,GA_OTRCAR,,,,,,,,,,1.0
