Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,DIST_DSL,,2021,,6.06375,6.06375,6.06375,6.06375,,,,,,,114.712,111.947,114.712,,111.947,,,,,,,,,,,,,,,139.6457,139.6457,,,,0.0016868419504735,0.0016868419504735,
BAU,0,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,,,,142.986,132.896,142.986,,132.896,,,,,,,,,,,,,,,165.7134,165.7134,,,,0.001986037070164,0.001986037070164,
BAU,0,,DIST_DSL,,2023,,6.89843,6.89843,6.89843,6.89843,,,,,,,135.499,119.94,135.499,,119.94,,,,,,,,,,,,,,,149.5015,149.5015,,,,0.0018184006323794,0.0018184006323794,
BAU,0,,DIST_DSL,,2024,,6.69999,6.69999,6.69999,6.69999,,,,,,,132.796,111.95,132.796,,111.95,,,,,,,,,,,,,,,139.4889,139.4889,,,,0.0017218611512469,0.0017218611512469,
BAU,0,,DIST_DSL,,2025,,6.94229,6.94229,6.94229,6.94229,,,,,,,138.182,110.943,138.182,,110.943,,,,,,,,,,,,,,,138.182,138.182,,,,0.0017311083783706,0.0017311083783706,
BAU,0,,DIST_DSL,,2026,,7.06684,7.06684,7.06684,7.06684,,,,,,,140.513,107.442,140.513,,107.442,,,,,,,,,,,,,,,133.7709,133.7709,,,,0.0017007831341526,0.0017007831341526,
BAU,0,,DIST_DSL,,2027,,7.26762,7.26762,7.26762,7.26762,,,,,,,145.573,106.011,145.573,,106.011,,,,,,,,,,,,,,,131.9385,131.9385,,,,0.0017024443192854,0.0017024443192854,
BAU,0,,DIST_DSL,,2028,,7.46476,7.46476,7.46476,7.46476,,,,,,,150.776,104.571,150.776,,104.571,,,,,,,,,,,,,,,130.0972,130.0972,,,,0.0017036640227722,0.0017036640227722,
BAU,0,,DIST_DSL,,2029,,7.66512,7.66512,7.66512,7.66512,,,,,,,157.156,103.806,157.156,,103.806,,,,,,,,,,,,,,,129.0958,129.0958,,,,0.0017157039509023,0.0017157039509023,
BAU,0,,DIST_DSL,,2030,,7.86653,7.86653,7.86653,7.86653,,,,,,,162.525,102.24,162.525,,102.24,,,,,,,,,,,,,,,127.1003,127.1003,,,,0.001714317307904,0.001714317307904,
