PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2021,,,,,,4.5941
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2022,,,,,,4.5482
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2023,,,,,,4.5027
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2024,,,,,,4.4577
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2025,,,,,,4.3685
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2026,,,,,,4.2811
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2027,,,,,,4.1955
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2028,,,,,,4.1116
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2029,,,,,,4.0294
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2030,,,,,,3.9085
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2031,,,,,,3.7912
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2032,,,,,,3.6775
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2033,,,,,,3.5672
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2034,,,,,,3.4602
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2035,,,,,,3.339
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2036,,,,,,3.2222
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2037,,,,,,3.1094
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2038,,,,,,3.0006
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2039,,,,,,2.8956
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2040,,,,,,2.7942
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2041,,,,,,2.6126
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2042,,,,,,2.4428
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2043,,,,,,2.284
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2044,,,,,,2.1355
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2045,,,,,,1.9967
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2046,,,,,,1.8669
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2047,,,,,,1.7176
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2048,,,,,,1.4857
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2049,,,,,,1.2851
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2050,,,,,,1.1116
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2051,,,,,,0.9616
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2052,,,,,,0.7452
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2053,,,,,,0.4658
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2054,,,,,,0.1979
ResidualCapacity,NDP,JAM,TRAUTGSL,,,,2055,,,,,,0.0
ResidualCapacity,NDP,JAM,TRMOTGSL,,,,2021,,,,,,0.3353
ResidualCapacity,NDP,JAM,TRMOTGSL,,,,2022,,,,,,0.332
ResidualCapacity,NDP,JAM,TRMOTGSL,,,,2023,,,,,,0.3287
ResidualCapacity,NDP,JAM,TRMOTGSL,,,,2024,,,,,,0.3254
ResidualCapacity,NDP,JAM,TRMOTGSL,,,,2025,,,,,,0.3189
